,date,pres_name,mun,party_id,mun_id,name_abr,name_full,in_gov11,ingov12,ingov14,ag1_name_abr,ag1_party_id,ag1_name_full,ag2_name_abr,ag2_party_id,ag2_name_full,nat_party
83,2011-02-28,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
84,2011-03-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
85,2011-04-30,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
86,2011-05-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
87,2011-06-30,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
88,2011-07-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
89,2011-08-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
90,2011-09-30,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
91,2011-10-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
92,2011-11-30,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
93,2011-12-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
94,2012-01-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
95,2012-02-29,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
96,2012-03-31,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
97,2012-04-30,Milan Popovic,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
98,2012-05-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
99,2012-06-30,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
100,2012-07-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
101,2012-08-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
102,2012-09-30,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
103,2012-10-31,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
104,2012-11-30,Edip Serifov,Beograd-Zvezdara,2,70149,DS,Demokratska Stranka,1,0,0,DS,2,Demokratska Stranka,DS,2,Demokratska Stranka,1
