mun_id,year, domestic borrowing, foreign borrowing, sale forest and water, sale of domestic financial assets, sale of foreign financial assets, sale of goods for resale, sale of inventories, sale of land, sale of other fixed assets , sale of stockpiles, sale of valuables, sale underground valuables,Donations from foreign governments,Donations from international organizations,Excises,"Fines, penalties and forfeits",Income from sale of movable property,Memorandum items for expenditures refund ,Memorandum items for expenditures refund from the previous year,Mixed and indefinite income,Other social contributions,Other taxes,Property income,Revenue from the budget,Sales of goods and services,Single tax on exra profit and extra assets acquired using special benefits,Social security contributions,Taxes on goods and services,"Taxes on income, profits and capital gains ",Taxes on international trade and transactions,Taxes on payroll and workforce,Taxes on property,Transfers between budget users at the same level,Transfers from other level of government,Voluntary transfers other than grants,proceeds from the real estate sales
70653,2012,0.0,0.0,0.0,184350.0,0.0,0.0,0.0,0.0,22350.0,0.0,0.0,0.0,0.0,0.0,0.0,158670.0,210.0,25090.0,8380.0,166080.0,0.0,601320.0,1344310.0,0.0,555120.0,0.0,0.0,748330.0,15786090.0,0.0,130.0,1831130.0,0.0,9183110.0,3000.0,0.0
70653,2013,0.0,0.0,0.0,161050.0,0.0,96910.0,0.0,22460.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,166170.0,2150.0,85160.0,26830.0,282330.0,0.0,550380.0,1437120.0,31010.0,2866850.0,0.0,0.0,610550.0,14682560.0,0.0,80.0,2282440.0,19480.0,7776420.0,710890.0,0.0
70661,2011,305430.0,0.0,0.0,8040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4680.0,0.0,8070.0,0.0,10080.0,0.0,6830.0,0.0,43810.0,44250.0,0.0,288230.0,0.0,0.0,98370.0,598830.0,0.0,0.0,90420.0,2980.0,1601450.0,25230.0,0.0
70661,2012,440.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6850.0,0.0,20270.0,27120.0,14270.0,0.0,37590.0,72380.0,0.0,271120.0,0.0,0.0,108700.0,909430.0,0.0,0.0,153070.0,2520.0,2666040.0,7410.0,2410.0
70661,2013,244570.0,0.0,0.0,420.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7170.0,6140.0,15630.0,91520.0,200870.0,0.0,27120.0,91250.0,0.0,104380.0,0.0,0.0,75990.0,865920.0,0.0,0.0,148980.0,3380.0,2891630.0,8110.0,2410.0
70670,2011,737350.0,0.0,0.0,6530.0,0.0,149910.0,183480.0,0.0,0.0,0.0,0.0,0.0,37290.0,138920.0,0.0,118800.0,10.0,96890.0,6520.0,195090.0,0.0,555790.0,1604980.0,0.0,1987490.0,0.0,0.0,805000.0,9086910.0,0.0,60.0,2105540.0,24470.0,4739370.0,66980.0,6120.0
70670,2012,0.0,0.0,0.0,400.0,0.0,103640.0,329250.0,0.0,0.0,0.0,0.0,0.0,37820.0,28540.0,0.0,123180.0,0.0,99830.0,0.0,286570.0,0.0,543180.0,1431070.0,0.0,2223270.0,0.0,0.0,822400.0,14413370.0,0.0,80.0,2293890.0,34610.0,5560730.0,104830.0,3020.0
70670,2013,0.0,0.0,0.0,410.0,0.0,245540.0,173520.0,0.0,0.0,0.0,0.0,0.0,41920.0,0.0,0.0,143130.0,3950.0,124650.0,0.0,192440.0,0.0,418790.0,1322320.0,0.0,2049330.0,0.0,0.0,526330.0,13418530.0,0.0,0.0,2152580.0,32120.0,5797060.0,131210.0,2940.0
70688,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1780.0,0.0,0.0,20740.0,0.0,23280.0,590.0,6600.0,0.0,107110.0,57820.0,229910.0,106710.0,0.0,0.0,133000.0,1255240.0,0.0,0.0,107010.0,0.0,1682050.0,0.0,0.0
70688,2012,0.0,0.0,0.0,16470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26420.0,0.0,130.0,4400.0,11380.0,0.0,0.0,495410.0,0.0,37460.0,0.0,0.0,245220.0,2077380.0,0.0,0.0,162300.0,0.0,3167100.0,0.0,0.0
70688,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18230.0,0.0,21530.0,0.0,110.0,1000.0,56570.0,0.0,107490.0,411420.0,0.0,41520.0,0.0,0.0,106480.0,2207690.0,0.0,10.0,212790.0,0.0,3351810.0,0.0,0.0
70696,2011,0.0,0.0,0.0,860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22290.0,150.0,24910.0,0.0,126480.0,0.0,68540.0,88150.0,0.0,76850.0,0.0,0.0,224710.0,694310.0,0.0,80.0,153620.0,600.0,1633290.0,23430.0,0.0
70696,2012,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28620.0,0.0,24850.0,2190.0,113120.0,0.0,52270.0,67960.0,0.0,69190.0,0.0,0.0,209370.0,1106990.0,0.0,0.0,151780.0,0.0,2612170.0,30360.0,0.0
70696,2013,0.0,0.0,0.0,2590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39430.0,0.0,11810.0,2250.0,156860.0,0.0,38540.0,132650.0,0.0,48800.0,0.0,0.0,163190.0,1069270.0,0.0,70.0,150910.0,0.0,2725140.0,17170.0,0.0
70700,2011,0.0,0.0,0.0,30.0,0.0,6670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26770.0,0.0,32450.0,7620.0,22810.0,0.0,11810.0,0.0,79130.0,2491300.0,0.0,115740.0,0.0,0.0,1352060.0,2229930.0,3440.0,10.0,198820.0,0.0,505880.0,1887720.0,730.0
70700,2012,0.0,0.0,0.0,30.0,0.0,5660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35690.0,0.0,23830.0,0.0,19060.0,0.0,63580.0,1721980.0,0.0,117270.0,0.0,0.0,446390.0,3692920.0,0.0,0.0,260380.0,0.0,632440.0,427290.0,1010.0
70700,2013,0.0,0.0,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3480.0,0.0,43360.0,0.0,23570.0,0.0,71330.0,0.0,95420.0,2098090.0,0.0,111530.0,0.0,0.0,1327260.0,3438370.0,0.0,0.0,268450.0,0.0,681260.0,11770.0,5610.0
70718,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1853530.0,0.0,0.0,16350.0,0.0,0.0,0.0,13760.0,0.0,24990.0,80570.0,0.0,22380.0,0.0,0.0,80650.0,689880.0,0.0,0.0,53140.0,0.0,0.0,0.0,0.0
